logtime,scenario_time,type,module,address,value
0.663927,0,version,,,1.4.1
0.664389,0,scenario_path,,,includes\scenarios\fatigue_2.txt
0.66524,0,seed_value,communications,,
0.665266,0,seed_output,communications,,MMG923
0.665356,0,seed_value,communications,,
0.665366,0,seed_output,communications,,EOO265
0.665446,0,seed_value,communications,,
0.665456,0,seed_output,communications,,SGR570
0.665531,0,seed_value,communications,,
0.66554,0,seed_output,communications,,WOX319
0.665611,0,seed_value,communications,,
0.66562,0,seed_output,communications,,SLS104
0.665683,0,seed_value,communications,,
0.665691,0,seed_output,communications,,WPA887
0.665753,0,seed_value,communications,,
0.665761,0,seed_output,communications,,HTS674
0.665828,0,seed_value,communications,,
0.665837,0,seed_output,communications,,IHO780
0.665906,0,seed_value,communications,,
0.665916,0,seed_output,communications,,GKP366
0.665984,0,seed_value,communications,,
0.665993,0,seed_output,communications,,PVS947
0.666066,0,seed_value,communications,,
0.666075,0,seed_output,communications,,HSD539
0.666112,0,seed_value,communications,,
0.666123,0,seed_output,communications,,113.64158
0.666147,0,seed_value,communications,,
0.666156,0,seed_output,communications,,118.335548
0.666179,0,seed_value,communications,,
0.666189,0,seed_output,communications,,119.715364
0.666211,0,seed_value,communications,,
0.666219,0,seed_output,communications,,112.224408
4.580027,0,dialog,,,OpenMATB end
4.587949,0.017031,event,communications,voicegender,male
5.597101,0.017031,dialog,,,Warning end
5.597604,0.033793,event,communications,voiceidiom,english
5.613911,0.049524,aoi,sysmon,foreground,"(0, 1026.0, 672, 540.0)"
5.614129,0.049524,aoi,sysmon,overdue,"(0, 1026.0, 672, 540.0)"
5.623088,0.049524,aoi,sysmon,task_title,"(0, 1080.0, 672, 1026.0)"
5.623228,0.049524,aoi,sysmon,automode,"(285.6, 592.65, 386.40000000000003, 565.65)"
5.62525,0.049524,aoi,sysmon,scale1,"(50.4, 855.9, 117.6, 612.9)"
5.62654,0.049524,aoi,sysmon,scale2,"(218.4, 855.9, 285.6, 612.9)"
5.627697,0.049524,aoi,sysmon,scale3,"(386.4, 855.9, 453.59999999999997, 612.9)"
5.629024,0.049524,aoi,sysmon,scale4,"(554.4, 855.9, 621.6, 612.9)"
5.630369,0.049524,aoi,sysmon,light1,"(33.599999999999994, 977.4, 302.4, 904.5)"
5.632209,0.049524,aoi,sysmon,light2,"(369.6, 977.4, 638.4000000000001, 904.5)"
5.63224,0.049524,parameter,sysmon,title,System monitoring
5.632251,0.049524,parameter,sysmon,taskplacement,topleft
5.632258,0.049524,parameter,sysmon,taskupdatetime,200
5.632269,0.049524,parameter,sysmon,taskfeedback-overdue-active,0
5.632278,0.049524,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
5.632286,0.049524,parameter,sysmon,taskfeedback-overdue-delayms,2000
5.632299,0.049524,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
