logtime,scenario_time,type,module,address,value
0.940921,0,version,,,1.4.1
0.941234,0,scenario_path,,,includes\scenarios\fatigue_2.txt
0.941735,0,seed_value,communications,,
0.941751,0,seed_output,communications,,XTR401
0.941814,0,seed_value,communications,,
0.941821,0,seed_output,communications,,WUF415
0.941876,0,seed_value,communications,,
0.941883,0,seed_output,communications,,QHG971
0.941936,0,seed_value,communications,,
0.941944,0,seed_output,communications,,QGT415
0.941994,0,seed_value,communications,,
0.942,0,seed_output,communications,,IRA206
0.942049,0,seed_value,communications,,
0.942056,0,seed_output,communications,,SBS973
0.942114,0,seed_value,communications,,
0.942122,0,seed_output,communications,,BTS910
0.942143,0,seed_value,communications,,
0.942149,0,seed_output,communications,,114.98713
0.942165,0,seed_value,communications,,
0.942171,0,seed_output,communications,,133.981169
0.942186,0,seed_value,communications,,
0.942191,0,seed_output,communications,,131.819368
0.942205,0,seed_value,communications,,
0.94221,0,seed_output,communications,,114.962988
1.960409,0,dialog,,,OpenMATB end
1.968955,0.017272,event,communications,voicegender,male
2.409886,0.017272,dialog,,,Warning end
2.41007,0.034453,event,communications,voiceidiom,english
2.410105,0.034453,manual,,,end
