logtime,scenario_time,type,module,address,value
0.718686,0,version,,,1.4.1
0.719093,0,scenario_path,,,includes\scenarios\fatigue_2.txt
0.719912,0,seed_value,communications,,
0.719934,0,seed_output,communications,,RFD446
0.720016,0,seed_value,communications,,
0.720027,0,seed_output,communications,,YRQ827
0.720103,0,seed_value,communications,,
0.720114,0,seed_output,communications,,GNZ509
0.720185,0,seed_value,communications,,
0.720195,0,seed_output,communications,,MMG923
0.720259,0,seed_value,communications,,
0.720267,0,seed_output,communications,,EOO265
0.720337,0,seed_value,communications,,
0.720346,0,seed_output,communications,,SGR570
0.720415,0,seed_value,communications,,
0.720423,0,seed_output,communications,,WOX319
0.720496,0,seed_value,communications,,
0.720505,0,seed_output,communications,,SLS104
0.72057,0,seed_value,communications,,
0.720579,0,seed_output,communications,,WPA887
0.720647,0,seed_value,communications,,
0.720657,0,seed_output,communications,,HTS674
0.720724,0,seed_value,communications,,
0.720733,0,seed_output,communications,,IHO780
0.72076,0,seed_value,communications,,
0.720768,0,seed_output,communications,,120.210294
0.72079,0,seed_value,communications,,
0.720798,0,seed_output,communications,,134.457957
0.720817,0,seed_value,communications,,
0.720825,0,seed_output,communications,,123.857245
0.720843,0,seed_value,communications,,
0.72085,0,seed_output,communications,,130.044683
4.763344,0,dialog,,,OpenMATB end
4.772277,0.01896,event,communications,voicegender,male
5.545044,0.01896,dialog,,,Warning end
5.545209,0.035993,event,communications,voiceidiom,english
5.545233,0.035993,manual,,,end
