logtime,scenario_time,type,module,address,value
1.019084,0,version,,,1.4.1
1.02047,0,scenario_path,,,includes\scenarios\fatigue_2.txt
1.02201,0,seed_value,communications,,
1.022058,0,seed_output,communications,,VBZ818
1.022129,0,seed_value,communications,,
1.022137,0,seed_output,communications,,XVZ241
1.022198,0,seed_value,communications,,
1.022206,0,seed_output,communications,,EHA972
1.022261,0,seed_value,communications,,
1.022269,0,seed_output,communications,,WMS232
1.022319,0,seed_value,communications,,
1.022328,0,seed_output,communications,,MYA347
1.022381,0,seed_value,communications,,
1.022388,0,seed_output,communications,,UPW443
1.022439,0,seed_value,communications,,
1.022446,0,seed_output,communications,,DXE892
1.022497,0,seed_value,communications,,
1.022504,0,seed_output,communications,,RZJ909
1.022624,0,seed_value,communications,,
1.022631,0,seed_output,communications,,APD620
1.022684,0,seed_value,communications,,
1.022691,0,seed_output,communications,,SFU347
1.022713,0,seed_value,communications,,
1.022719,0,seed_output,communications,,123.137533
1.022735,0,seed_value,communications,,
1.022741,0,seed_output,communications,,113.256681
1.022755,0,seed_value,communications,,
1.02276,0,seed_output,communications,,127.636649
1.022784,0,seed_value,communications,,
1.022792,0,seed_output,communications,,134.263551
2.428336,0,dialog,,,OpenMATB end
2.435981,0.017469,event,sysmon,self,stop
4.161174,0.017469,dialog,,,Warning end
4.161561,0.034968,event,track,self,stop
4.177228,0.050591,event,communications,self,stop
4.193884,0.067237,event,resman,self,stop
4.21039,0.083791,event,scheduling,self,stop
4.227296,0.100672,event,instructions,filename,en/welcome_screen.txt
4.244278,0.117242,aoi,instructions,background,"(0, 1080, 1920, 0)"
4.244958,0.117242,parameter,instructions,title,
4.244995,0.117242,parameter,instructions,taskplacement,fullscreen
4.245011,0.117242,parameter,instructions,taskupdatetime,15
4.245029,0.117242,parameter,instructions,taskfeedback-overdue-active,0
4.245043,0.117242,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
4.245058,0.117242,parameter,instructions,taskfeedback-overdue-delayms,2000
4.24507,0.117242,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
4.245083,0.117242,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
