logtime,scenario_time,type,module,address,value
1.030544,0,version,,,1.4.1
1.031025,0,scenario_path,,,includes\scenarios\fatigue_2.txt
1.031971,0,seed_value,communications,,
1.031998,0,seed_output,communications,,FNW647
1.032066,0,seed_value,communications,,
1.032074,0,seed_output,communications,,YJC094
1.032128,0,seed_value,communications,,
1.032135,0,seed_output,communications,,MYA347
1.032192,0,seed_value,communications,,
1.032201,0,seed_output,communications,,UPW443
1.032251,0,seed_value,communications,,
1.032258,0,seed_output,communications,,DXE892
1.032309,0,seed_value,communications,,
1.032317,0,seed_output,communications,,RZJ909
1.032366,0,seed_value,communications,,
1.032373,0,seed_output,communications,,APD620
1.032427,0,seed_value,communications,,
1.032435,0,seed_output,communications,,SFU347
1.03246,0,seed_value,communications,,
1.032465,0,seed_output,communications,,127.636649
1.032482,0,seed_value,communications,,
1.032489,0,seed_output,communications,,134.263551
1.032503,0,seed_value,communications,,
1.032509,0,seed_output,communications,,112.783535
1.032523,0,seed_value,communications,,
1.032528,0,seed_output,communications,,135.788072
4.785739,0,dialog,,,OpenMATB end
4.793762,0.020154,event,sysmon,self,stop
5.832326,0.020154,dialog,,,Warning end
5.832505,0.036902,event,track,self,stop
5.84892,0.05331,event,communications,self,stop
5.86565,0.070001,event,resman,self,stop
5.881861,0.086253,event,scheduling,self,stop
5.898921,0.103288,event,instructions,filename,en/welcome_screen.txt
5.915485,0.119643,aoi,instructions,background,"(0, 1080, 1920, 0)"
5.915932,0.119643,parameter,instructions,title,
5.915961,0.119643,parameter,instructions,taskplacement,fullscreen
5.91597,0.119643,parameter,instructions,taskupdatetime,15
5.915982,0.119643,parameter,instructions,taskfeedback-overdue-active,0
5.915991,0.119643,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
5.916001,0.119643,parameter,instructions,taskfeedback-overdue-delayms,2000
5.916009,0.119643,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
5.916016,0.119643,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
5.916024,0.119643,parameter,instructions,taskfeedback-overdue-_is_visible,0
5.916032,0.119643,parameter,instructions,boldtitle,0
5.916039,0.119643,parameter,instructions,filename,en/welcome_screen.txt
5.916046,0.119643,parameter,instructions,pointsize,0
5.916053,0.119643,parameter,instructions,maxdurationsec,0
5.916061,0.119643,parameter,instructions,response-text,Press SPACE to continue
5.916068,0.119643,parameter,instructions,response-key,SPACE
5.916076,0.119643,parameter,instructions,allowkeypress,1
5.918707,0.119643,state,instructions,"background, visibility",1
5.918743,0.119643,event,instructions,self,start
5.932226,0.136602,state,instructions,"background, visibility",0
5.937412,0.136602,aoi,instructions,title,"(0, 1080, 1920, 0)"
5.942526,0.136602,aoi,instructions,press_space,"(0, 1080, 1920, 0)"
5.963433,0.136602,aoi,instructions,instructions,"(0, 1080, 1920, 0)"
5.963569,0.136602,state,instructions,"background, visibility",1
6.931928,0.136602,input,keyboard,SPACE,press
7.015191,0.136602,input,keyboard,SPACE,release
7.015417,0.136602,state,instructions,"background, visibility",0
7.03207,0.152946,aoi,sysmon,foreground,"(0, 1026.0, 672, 540.0)"
7.032161,0.152946,aoi,sysmon,overdue,"(0, 1026.0, 672, 540.0)"
7.039243,0.152946,aoi,sysmon,task_title,"(0, 1080.0, 672, 1026.0)"
7.039409,0.152946,aoi,sysmon,automode,"(285.6, 592.65, 386.40000000000003, 565.65)"
7.040725,0.152946,aoi,sysmon,scale1,"(50.4, 855.9, 117.6, 612.9)"
7.042433,0.152946,aoi,sysmon,scale2,"(218.4, 855.9, 285.6, 612.9)"
7.043836,0.152946,aoi,sysmon,scale3,"(386.4, 855.9, 453.59999999999997, 612.9)"
7.044896,0.152946,aoi,sysmon,scale4,"(554.4, 855.9, 621.6, 612.9)"
7.046224,0.152946,aoi,sysmon,light1,"(33.599999999999994, 977.4, 302.4, 904.5)"
7.047332,0.152946,aoi,sysmon,light2,"(369.6, 977.4, 638.4000000000001, 904.5)"
7.047359,0.152946,parameter,sysmon,title,System monitoring
7.047367,0.152946,parameter,sysmon,taskplacement,topleft
7.047373,0.152946,parameter,sysmon,taskupdatetime,200
7.047383,0.152946,parameter,sysmon,taskfeedback-overdue-active,0
7.047389,0.152946,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
7.047397,0.152946,parameter,sysmon,taskfeedback-overdue-delayms,2000
7.047402,0.152946,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
7.047408,0.152946,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
7.047413,0.152946,parameter,sysmon,taskfeedback-overdue-_is_visible,0
7.04742,0.152946,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x000001F40AACBCA0>
7.047428,0.152946,parameter,sysmon,alerttimeout,10000
7.047434,0.152946,parameter,sysmon,automaticsolver,0
7.047439,0.152946,parameter,sysmon,automaticsolverdelay,1000
7.047444,0.152946,parameter,sysmon,displayautomationstate,1
7.047449,0.152946,parameter,sysmon,allowanykey,0
7.047454,0.152946,parameter,sysmon,feedbackduration,1500
7.04746,0.152946,parameter,sysmon,feedbacks-positive-active,1
7.047465,0.152946,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
7.047473,0.152946,parameter,sysmon,feedbacks-negative-active,1
7.047478,0.152946,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
