logtime,scenario_time,type,module,address,value
0.960444,0,version,,,1.4.1
0.962243,0,scenario_path,,,includes\scenarios\fatigue_2.txt
0.965282,0,seed_value,communications,,
0.965395,0,seed_output,communications,,FDV753
0.965493,0,seed_value,communications,,
0.965509,0,seed_output,communications,,XVZ241
0.965572,0,seed_value,communications,,
0.965581,0,seed_output,communications,,EHA972
0.965635,0,seed_value,communications,,
0.965644,0,seed_output,communications,,WMS232
0.965845,0,seed_value,communications,,
0.965857,0,seed_output,communications,,MYA347
0.965913,0,seed_value,communications,,
0.965924,0,seed_output,communications,,UPW443
0.965976,0,seed_value,communications,,
0.965983,0,seed_output,communications,,DXE892
0.966037,0,seed_value,communications,,
0.966044,0,seed_output,communications,,RZJ909
0.966094,0,seed_value,communications,,
0.966101,0,seed_output,communications,,APD620
0.966124,0,seed_value,communications,,
0.966129,0,seed_output,communications,,118.48416
0.966146,0,seed_value,communications,,
0.966151,0,seed_output,communications,,123.137533
0.966167,0,seed_value,communications,,
0.966172,0,seed_output,communications,,113.256681
0.966186,0,seed_value,communications,,
0.966191,0,seed_output,communications,,127.636649
1.642482,0,dialog,,,OpenMATB end
1.651317,0.017739,event,sysmon,self,stop
6.023274,0.017739,dialog,,,Warning end
6.023573,0.03483,event,track,self,stop
6.039382,0.050666,event,communications,self,stop
6.056382,0.067613,event,resman,self,stop
6.073198,0.084325,event,scheduling,self,stop
6.089691,0.100944,event,instructions,filename,en/welcome_screen.txt
6.106743,0.117632,aoi,instructions,background,"(0, 1080, 1920, 0)"
6.107475,0.117632,parameter,instructions,title,
6.107518,0.117632,parameter,instructions,taskplacement,fullscreen
6.107538,0.117632,parameter,instructions,taskupdatetime,15
6.107559,0.117632,parameter,instructions,taskfeedback-overdue-active,0
6.107577,0.117632,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
6.107595,0.117632,parameter,instructions,taskfeedback-overdue-delayms,2000
6.10761,0.117632,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
6.107625,0.117632,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
6.107639,0.117632,parameter,instructions,taskfeedback-overdue-_is_visible,0
6.107654,0.117632,parameter,instructions,boldtitle,0
6.107668,0.117632,parameter,instructions,filename,en/welcome_screen.txt
6.107681,0.117632,parameter,instructions,pointsize,0
6.107695,0.117632,parameter,instructions,maxdurationsec,0
6.10771,0.117632,parameter,instructions,response-text,Press SPACE to continue
6.107725,0.117632,parameter,instructions,response-key,SPACE
6.107738,0.117632,parameter,instructions,allowkeypress,1
6.113129,0.117632,state,instructions,"background, visibility",1
6.113181,0.117632,event,instructions,self,start
6.122777,0.134053,state,instructions,"background, visibility",0
6.12946,0.134053,aoi,instructions,title,"(0, 1080, 1920, 0)"
6.134673,0.134053,aoi,instructions,press_space,"(0, 1080, 1920, 0)"
6.155024,0.134053,aoi,instructions,instructions,"(0, 1080, 1920, 0)"
6.155156,0.134053,state,instructions,"background, visibility",1
6.939199,0.134053,input,keyboard,SPACE,press
7.072441,0.134053,input,keyboard,SPACE,release
7.072659,0.134053,state,instructions,"background, visibility",0
7.089399,0.150642,aoi,sysmon,foreground,"(0, 1026.0, 672, 540.0)"
7.089463,0.150642,aoi,sysmon,overdue,"(0, 1026.0, 672, 540.0)"
7.096668,0.150642,aoi,sysmon,task_title,"(0, 1080.0, 672, 1026.0)"
7.096834,0.150642,aoi,sysmon,automode,"(285.6, 592.65, 386.40000000000003, 565.65)"
7.098198,0.150642,aoi,sysmon,scale1,"(50.4, 855.9, 117.6, 612.9)"
7.099224,0.150642,aoi,sysmon,scale2,"(218.4, 855.9, 285.6, 612.9)"
7.100372,0.150642,aoi,sysmon,scale3,"(386.4, 855.9, 453.59999999999997, 612.9)"
7.101394,0.150642,aoi,sysmon,scale4,"(554.4, 855.9, 621.6, 612.9)"
7.102663,0.150642,aoi,sysmon,light1,"(33.599999999999994, 977.4, 302.4, 904.5)"
7.103772,0.150642,aoi,sysmon,light2,"(369.6, 977.4, 638.4000000000001, 904.5)"
7.103797,0.150642,parameter,sysmon,title,System monitoring
7.103805,0.150642,parameter,sysmon,taskplacement,topleft
7.103812,0.150642,parameter,sysmon,taskupdatetime,200
7.103822,0.150642,parameter,sysmon,taskfeedback-overdue-active,0
7.103828,0.150642,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
7.103835,0.150642,parameter,sysmon,taskfeedback-overdue-delayms,2000
7.103841,0.150642,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
7.103846,0.150642,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
