logtime,scenario_time,type,module,address,value
0.944438,0,version,,,1.4.1
0.944872,0,scenario_path,,,includes\scenarios\fatigue_2.txt
0.945803,0,seed_value,communications,,
0.945825,0,seed_output,communications,,XVZ241
0.94589,0,seed_value,communications,,
0.945898,0,seed_output,communications,,EHA972
0.945952,0,seed_value,communications,,
0.945959,0,seed_output,communications,,WMS232
0.946009,0,seed_value,communications,,
0.946016,0,seed_output,communications,,MYA347
0.94607,0,seed_value,communications,,
0.946078,0,seed_output,communications,,UPW443
0.946124,0,seed_value,communications,,
0.946131,0,seed_output,communications,,DXE892
0.946182,0,seed_value,communications,,
0.946189,0,seed_output,communications,,RZJ909
0.946238,0,seed_value,communications,,
0.946244,0,seed_output,communications,,APD620
0.946295,0,seed_value,communications,,
0.946303,0,seed_output,communications,,SFU347
0.946325,0,seed_value,communications,,
0.946331,0,seed_output,communications,,113.256681
0.946348,0,seed_value,communications,,
0.946353,0,seed_output,communications,,127.636649
0.946368,0,seed_value,communications,,
0.946374,0,seed_output,communications,,134.263551
0.946388,0,seed_value,communications,,
0.946393,0,seed_output,communications,,112.783535
1.853431,0,dialog,,,OpenMATB end
1.862224,0.017373,event,sysmon,self,stop
3.019604,0.017373,dialog,,,Warning end
3.019947,0.034439,event,track,self,stop
3.035981,0.05053,event,communications,self,stop
3.052286,0.066846,event,resman,self,stop
3.069444,0.083977,event,scheduling,self,stop
3.085962,0.100517,event,instructions,filename,en/welcome_screen.txt
3.103095,0.117235,aoi,instructions,background,"(0, 1080, 1920, 0)"
3.103815,0.117235,parameter,instructions,title,
3.103855,0.117235,parameter,instructions,taskplacement,fullscreen
3.103874,0.117235,parameter,instructions,taskupdatetime,15
3.103895,0.117235,parameter,instructions,taskfeedback-overdue-active,0
3.103915,0.117235,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
3.103938,0.117235,parameter,instructions,taskfeedback-overdue-delayms,2000
3.103951,0.117235,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
3.103964,0.117235,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
3.103977,0.117235,parameter,instructions,taskfeedback-overdue-_is_visible,0
3.10399,0.117235,parameter,instructions,boldtitle,0
3.104003,0.117235,parameter,instructions,filename,en/welcome_screen.txt
3.104038,0.117235,parameter,instructions,pointsize,0
3.104051,0.117235,parameter,instructions,maxdurationsec,0
3.104065,0.117235,parameter,instructions,response-text,Press SPACE to continue
3.104078,0.117235,parameter,instructions,response-key,SPACE
3.104091,0.117235,parameter,instructions,allowkeypress,1
3.107499,0.117235,state,instructions,"background, visibility",1
