TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_1,AUX_2,AUX_3,AUX_4,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,Optics1,Optics2,Optics3,Optics4,Optics5,Optics6,Optics7,Optics8,Optics9,Optics10,Optics11,Optics12,Optics13,Optics14,Optics15,Optics16,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-10-24 13:23:51.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected MuseS-BFCC
2025-10-24 13:23:51.898,0.7232429,0.15124215,-0.08649802,0.66392756,0.03929089,-0.45551994,-0.1845031,0.14021249,0.65273774,0.029674748,0.013330397,0.6742082,0.89807665,0.4024737,0.38035247,1.1431752,0.6053238,0.7171759,0.61047906,0.69204295,726.1063,724.4247,740.8869,731.77075,835.2347,845.50146,827.7117,1450.0,-0.14324951171875,-0.0169677734375,1.01617431640625,-1.31591796875,-1.51031494140625,0.037384033203125,0.9634408602150536,0.8193672364876141,0.7919624251960995,0.6184698281000405,12.119121665116944,11.212535107169254,13.30091600505448,11.15192713921274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.068016,1.0,1.0,1.0,1.0,1.0,10.42,
2025-10-24 13:23:52.402,0.6586945,0.35011852,-0.1265451,0.85724974,0.13790523,-0.37481764,-0.10284703,0.35214996,0.6540444,0.02298963,0.33839685,0.85340405,0.8432446,0.5448442,0.5485863,1.0350434,0.6547571,0.75404215,0.6108302,0.6725286,693.09344,669.8163,693.9785,670.0818,378.54178,374.6475,422.61795,986.22656,-0.14739990234375,-0.01483154296875,1.0172119140625,-1.652374267578125,-1.547698974609375,0.351409912109375,0.9601144410271082,0.8144233841165391,0.8021247884033093,0.6255499129771356,12.155773311398804,11.223521445771642,13.371594783396514,11.18961638414038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.35841,1.0,1.0,1.0,1.0,1.0,10.41,
2025-10-24 13:23:52.942,0.5773496,-0.07809604,-0.024340108,1.0019162,0.26824087,-0.4152464,-0.0791921,0.567032,0.6152541,-0.026309846,0.38772705,0.84400266,0.7678242,0.6172361,0.61975914,0.8662071,0.66502607,0.5499927,0.588283,0.64964455,742.74554,735.0455,747.17084,728.496,835.4117,843.7313,833.37604,1409.2871,-0.13641357421875,-0.024169921875,1.01251220703125,-1.65985107421875,-1.00189208984375,-0.34393310546875,0.9440316620175,0.8046272321960757,0.7816779915599743,0.6115728488663186,12.06708914479174,11.136057983453735,13.238995779987125,11.0610457048852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.314545,1.0,1.0,1.0,1.0,1.0,10.41,
2025-10-24 13:23:53.451,0.38324305,-0.29838908,-0.05547423,0.7273748,0.24053746,-0.28317514,0.0040345853,0.5541362,0.46410778,-0.059012156,0.38454828,0.7767509,0.8306127,0.58329725,0.49878737,0.8099229,0.5972419,0.40948793,0.50889194,0.51275957,699.73145,756.3755,728.14197,676.3657,846.298,857.27277,840.6336,1450.0,-0.13201904296875,-0.02667236328125,1.0218505859375,-0.904693603515625,-0.336456298828125,-0.485992431640625,0.9316720310898124,0.7970283479960899,0.7718513220322819,0.6062933028157261,12.029064206184584,11.10306845003934,13.198559950408889,11.0244550938178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.55778,1.0,1.0,1.0,1.0,1.0,10.4,
2025-10-24 13:23:53.966,0.3024238,-0.31873834,0.44665027,0.6451709,0.22255883,-0.29719764,0.11978065,0.5933695,0.2697933,-0.0644729,0.48514882,0.5767114,0.866222,0.5860319,0.4084394,0.75589126,0.51670057,0.39174685,0.43280852,0.4337395,708.405,700.17395,791.247,750.44556,830.4553,823.5519,816.2058,1407.34,-0.13055419921875,-0.01947021484375,1.02288818359375,-2.026214599609375,-0.40374755859375,-1.383209228515625,0.92959683379825,0.7950141859189853,0.7703254416708389,0.6045537992036811,12.042491953365282,11.107249362229693,13.223767493979926,11.041697541902105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.980354,1.0,1.0,1.0,1.0,1.0,10.4,
2025-10-24 13:23:54.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-10-24 13:23:54.476,0.29320717,-0.23989193,0.5477606,1.4058204,0.14806524,-0.15213136,0.16756417,1.3783351,0.25803193,-0.0947933,0.48415637,1.3502661,0.8897649,0.5494831,0.33004585,0.81929636,0.49854007,0.36075354,0.3662212,0.42649028,733.9834,726.9914,741.595,735.66504,884.0902,882.40857,854.5291,1450.0,-0.131103515625,-0.01177978515625,1.01409912109375,-0.919647216796875,-0.545806884765625,1.36077880859375,0.9154061464368308,0.784119400138283,0.7497870920058174,0.5869756574398588,11.989208211143694,11.089335526786352,13.136975419021052,11.003550532866033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.61849,1.0,1.0,1.0,1.0,1.0,10.39,
2025-10-24 13:23:54.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-10-24 13:23:54.984,0.29320717,-0.16573864,0.7972052,1.6004999,0.14806524,-0.08802868,0.2494311,1.5764972,0.25803193,-0.22946678,0.46567518,1.3502661,0.8897649,0.42754993,0.3801978,0.89629585,0.49854007,0.42661738,0.40761295,0.46429294,610.16296,699.90845,797.08844,638.131,818.684,823.3748,818.7725,1404.3307,-0.1368408203125,-0.02813720703125,1.00946044921875,-4.164581298828125,-0.04486083984375,13.376007080078123,0.9100960827790096,0.7848823403190044,0.7436835705600457,0.5874639391555205,11.986614214529242,11.091441241685144,13.137921464845148,11.015757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.79905,1.0,1.0,1.0,1.0,1.0,10.39,
