logtime,scenario_time,type,module,address,value
2.234634,0,version,,,1.4.1
2.241637,0,scenario_path,,,includes\scenarios\fatigue.txt
2.24239,0,seed_value,communications,,
2.24241,0,seed_output,communications,,TIX580
2.242474,0,seed_value,communications,,
2.242482,0,seed_output,communications,,KEM018
2.242535,0,seed_value,communications,,
2.242542,0,seed_output,communications,,OTL422
2.24259,0,seed_value,communications,,
2.242596,0,seed_output,communications,,SBN790
2.242656,0,seed_value,communications,,
2.242663,0,seed_output,communications,,PIV852
2.242719,0,seed_value,communications,,
2.242726,0,seed_output,communications,,DTW834
2.242778,0,seed_value,communications,,
2.242785,0,seed_output,communications,,LPP463
2.242832,0,seed_value,communications,,
2.242839,0,seed_output,communications,,QNZ454
2.242883,0,seed_value,communications,,
2.242889,0,seed_output,communications,,FDV753
2.242909,0,seed_value,communications,,
2.242915,0,seed_output,communications,,114.900974
2.24293,0,seed_value,communications,,
2.242936,0,seed_output,communications,,114.845395
2.24295,0,seed_value,communications,,
2.242956,0,seed_output,communications,,126.064149
2.24297,0,seed_value,communications,,
2.242975,0,seed_output,communications,,131.006862
3.298726,0,dialog,,,OpenMATB end
3.299002,0.016842,event,instructions,filename,en/welcome_screen.txt
3.316939,0.033937,aoi,instructions,background,"(0, 1080, 1920, 0)"
3.328343,0.033937,parameter,instructions,title,
3.328375,0.033937,parameter,instructions,taskplacement,fullscreen
3.328383,0.033937,parameter,instructions,taskupdatetime,15
3.328394,0.033937,parameter,instructions,taskfeedback-overdue-active,0
3.328402,0.033937,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
3.328411,0.033937,parameter,instructions,taskfeedback-overdue-delayms,2000
3.328417,0.033937,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
3.328424,0.033937,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
3.32843,0.033937,parameter,instructions,taskfeedback-overdue-_is_visible,0
3.328438,0.033937,parameter,instructions,boldtitle,0
3.328444,0.033937,parameter,instructions,filename,en/welcome_screen.txt
3.32845,0.033937,parameter,instructions,pointsize,0
3.328456,0.033937,parameter,instructions,maxdurationsec,0
3.328463,0.033937,parameter,instructions,response-text,Press SPACE to continue
3.32847,0.033937,parameter,instructions,response-key,SPACE
3.328476,0.033937,parameter,instructions,allowkeypress,1
3.363215,0.033937,state,instructions,"background, visibility",1
3.363275,0.033937,event,instructions,self,start
3.364098,0.081907,state,instructions,"background, visibility",0
3.382643,0.081907,aoi,instructions,title,"(0, 1080, 1920, 0)"
3.392664,0.081907,aoi,instructions,press_space,"(0, 1080, 1920, 0)"
3.406551,0.081907,aoi,instructions,instructions,"(0, 1080, 1920, 0)"
3.406662,0.081907,state,instructions,"background, visibility",1
4.214948,0.081907,input,keyboard,SPACE,press
4.315812,0.081907,input,keyboard,SPACE,release
4.316173,0.081907,state,instructions,"background, visibility",0
4.331576,0.097112,aoi,sysmon,foreground,"(0, 1026.0, 672, 540.0)"
4.331662,0.097112,aoi,sysmon,overdue,"(0, 1026.0, 672, 540.0)"
4.378705,0.097112,aoi,sysmon,task_title,"(0, 1080.0, 672, 1026.0)"
4.378858,0.097112,aoi,sysmon,automode,"(285.6, 592.65, 386.40000000000003, 565.65)"
4.381108,0.097112,aoi,sysmon,scale1,"(50.4, 855.9, 117.6, 612.9)"
4.383075,0.097112,aoi,sysmon,scale2,"(218.4, 855.9, 285.6, 612.9)"
4.384612,0.097112,aoi,sysmon,scale3,"(386.4, 855.9, 453.59999999999997, 612.9)"
4.386978,0.097112,aoi,sysmon,scale4,"(554.4, 855.9, 621.6, 612.9)"
4.389037,0.097112,aoi,sysmon,light1,"(33.599999999999994, 977.4, 302.4, 904.5)"
4.391276,0.097112,aoi,sysmon,light2,"(369.6, 977.4, 638.4000000000001, 904.5)"
4.391302,0.097112,parameter,sysmon,title,System monitoring
4.391311,0.097112,parameter,sysmon,taskplacement,topleft
4.391317,0.097112,parameter,sysmon,taskupdatetime,200
4.391339,0.097112,parameter,sysmon,taskfeedback-overdue-active,0
4.391346,0.097112,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
4.391353,0.097112,parameter,sysmon,taskfeedback-overdue-delayms,2000
4.39136,0.097112,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
4.391366,0.097112,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
4.391373,0.097112,parameter,sysmon,taskfeedback-overdue-_is_visible,0
4.391381,0.097112,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x00000263021DBAF0>
4.391389,0.097112,parameter,sysmon,alerttimeout,10000
4.391395,0.097112,parameter,sysmon,automaticsolver,0
4.391401,0.097112,parameter,sysmon,automaticsolverdelay,1000
4.391407,0.097112,parameter,sysmon,displayautomationstate,1
4.391413,0.097112,parameter,sysmon,allowanykey,0
4.391419,0.097112,parameter,sysmon,feedbackduration,1500
4.391426,0.097112,parameter,sysmon,feedbacks-positive-active,1
4.391432,0.097112,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
4.39144,0.097112,parameter,sysmon,feedbacks-negative-active,1
4.391446,0.097112,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
4.391456,0.097112,parameter,sysmon,lights-1-name,F5
4.391461,0.097112,parameter,sysmon,lights-1-failure,0
4.391467,0.097112,parameter,sysmon,lights-1-default,on
4.391472,0.097112,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
4.391477,0.097112,parameter,sysmon,lights-1-key,F5
4.391483,0.097112,parameter,sysmon,lights-1-on,1
4.391488,0.097112,parameter,sysmon,lights-1-_failuretimer,
4.391493,0.097112,parameter,sysmon,lights-1-_onfailure,0
4.3915,0.097112,parameter,sysmon,lights-1-_milliresponsetime,0
4.391506,0.097112,parameter,sysmon,lights-1-_freezetimer,
4.391511,0.097112,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x000002630211E3D0>
4.391518,0.097112,parameter,sysmon,lights-2-name,F6
4.391523,0.097112,parameter,sysmon,lights-2-failure,0
4.391528,0.097112,parameter,sysmon,lights-2-default,off
4.391533,0.097112,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
4.391538,0.097112,parameter,sysmon,lights-2-key,F6
4.391543,0.097112,parameter,sysmon,lights-2-on,0
4.391549,0.097112,parameter,sysmon,lights-2-_failuretimer,
4.391554,0.097112,parameter,sysmon,lights-2-_onfailure,0
4.391559,0.097112,parameter,sysmon,lights-2-_milliresponsetime,0
4.391564,0.097112,parameter,sysmon,lights-2-_freezetimer,
4.391569,0.097112,parameter,sysmon,lights-2-widget,<core.widgets.light.Light object at 0x0000026302122FD0>
4.391577,0.097112,parameter,sysmon,scales-1-name,F1
4.391582,0.097112,parameter,sysmon,scales-1-failure,0
4.391587,0.097112,parameter,sysmon,scales-1-side,0
4.391592,0.097112,parameter,sysmon,scales-1-key,F1
4.391597,0.097112,parameter,sysmon,scales-1-_failuretimer,
4.391603,0.097112,parameter,sysmon,scales-1-_onfailure,0
4.391608,0.097112,parameter,sysmon,scales-1-_milliresponsetime,0
4.391613,0.097112,parameter,sysmon,scales-1-_freezetimer,
4.391619,0.097112,parameter,sysmon,scales-1-_pos,5
4.391624,0.097112,parameter,sysmon,scales-1-_zone,0
4.391629,0.097112,parameter,sysmon,scales-1-_feedbacktimer,
4.391635,0.097112,parameter,sysmon,scales-1-_feedbacktype,
4.39164,0.097112,parameter,sysmon,scales-1-widget,<core.widgets.scale.Scale object at 0x0000026302108550>
4.391647,0.097112,parameter,sysmon,scales-2-name,F2
4.391651,0.097112,parameter,sysmon,scales-2-failure,0
4.391656,0.097112,parameter,sysmon,scales-2-side,0
4.391662,0.097112,parameter,sysmon,scales-2-key,F2
4.391667,0.097112,parameter,sysmon,scales-2-_failuretimer,
4.391672,0.097112,parameter,sysmon,scales-2-_onfailure,0
4.391677,0.097112,parameter,sysmon,scales-2-_milliresponsetime,0
4.391683,0.097112,parameter,sysmon,scales-2-_freezetimer,
4.391688,0.097112,parameter,sysmon,scales-2-_pos,5
4.391693,0.097112,parameter,sysmon,scales-2-_zone,0
4.391698,0.097112,parameter,sysmon,scales-2-_feedbacktimer,
4.391703,0.097112,parameter,sysmon,scales-2-_feedbacktype,
4.391708,0.097112,parameter,sysmon,scales-2-widget,<core.widgets.scale.Scale object at 0x0000026302108730>
4.393232,0.097112,parameter,sysmon,scales-3-name,F3
4.393251,0.097112,parameter,sysmon,scales-3-failure,0
4.393259,0.097112,parameter,sysmon,scales-3-side,0
4.393265,0.097112,parameter,sysmon,scales-3-key,F3
4.39327,0.097112,parameter,sysmon,scales-3-_failuretimer,
4.393275,0.097112,parameter,sysmon,scales-3-_onfailure,0
4.393281,0.097112,parameter,sysmon,scales-3-_milliresponsetime,0
