logtime,scenario_time,type,module,address,value
0.875668,0,version,,,1.4.1
0.876125,0,scenario_path,,,includes\scenarios\fatigue.txt
0.876748,0,seed_value,communications,,
0.876771,0,seed_output,communications,,OSQ034
0.876864,0,seed_value,communications,,
0.876875,0,seed_output,communications,,UDA433
0.876945,0,seed_value,communications,,
0.876955,0,seed_output,communications,,BJW275
0.877034,0,seed_value,communications,,
0.877044,0,seed_output,communications,,INP414
0.877114,0,seed_value,communications,,
0.877124,0,seed_output,communications,,CMB993
0.877193,0,seed_value,communications,,
0.877203,0,seed_output,communications,,LCN879
0.877312,0,seed_value,communications,,
0.877331,0,seed_output,communications,,CLN158
0.87744,0,seed_value,communications,,
0.877454,0,seed_output,communications,,HQR233
0.877544,0,seed_value,communications,,
0.877555,0,seed_output,communications,,IBX875
0.877633,0,seed_value,communications,,
0.877642,0,seed_output,communications,,EOR477
0.877709,0,seed_value,communications,,
0.877719,0,seed_output,communications,,CGE412
0.877748,0,seed_value,communications,,
0.877756,0,seed_output,communications,,126.544737
0.87778,0,seed_value,communications,,
0.877788,0,seed_output,communications,,114.085686
0.877809,0,seed_value,communications,,
0.877816,0,seed_output,communications,,121.299595
0.877836,0,seed_value,communications,,
0.877843,0,seed_output,communications,,119.0496
4.202188,0,dialog,,,OpenMATB end
4.203062,0.017408,event,instructions,filename,en/welcome_screen.txt
4.218497,0.032733,aoi,instructions,background,"(0, 1080, 1920, 0)"
4.219274,0.032733,parameter,instructions,title,
4.219319,0.032733,parameter,instructions,taskplacement,fullscreen
4.219339,0.032733,parameter,instructions,taskupdatetime,15
4.21936,0.032733,parameter,instructions,taskfeedback-overdue-active,0
4.219379,0.032733,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
4.219399,0.032733,parameter,instructions,taskfeedback-overdue-delayms,2000
4.219415,0.032733,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
4.21943,0.032733,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
4.219446,0.032733,parameter,instructions,taskfeedback-overdue-_is_visible,0
4.21946,0.032733,parameter,instructions,boldtitle,0
4.219472,0.032733,parameter,instructions,filename,en/welcome_screen.txt
4.219484,0.032733,parameter,instructions,pointsize,0
4.219495,0.032733,parameter,instructions,maxdurationsec,0
4.219508,0.032733,parameter,instructions,response-text,Press SPACE to continue
4.219521,0.032733,parameter,instructions,response-key,SPACE
4.219533,0.032733,parameter,instructions,allowkeypress,1
4.222309,0.032733,state,instructions,"background, visibility",1
4.22234,0.032733,event,instructions,self,start
4.234448,0.049165,state,instructions,"background, visibility",0
4.240356,0.049165,aoi,instructions,title,"(0, 1080, 1920, 0)"
4.246237,0.049165,aoi,instructions,press_space,"(0, 1080, 1920, 0)"
4.25503,0.049165,aoi,instructions,instructions,"(0, 1080, 1920, 0)"
4.255156,0.049165,state,instructions,"background, visibility",1
4.617811,0.049165,input,keyboard,SPACE,press
4.785105,0.049165,input,keyboard,SPACE,release
4.785571,0.049165,state,instructions,"background, visibility",0
4.802071,0.065725,event,genericscales,filename,en/vasf_4pp_part1.txt
4.819118,0.082185,aoi,genericscales,background,"(0, 1080, 1920, 0)"
4.82069,0.082185,parameter,genericscales,title,
4.82079,0.082185,parameter,genericscales,taskplacement,fullscreen
4.82083,0.082185,parameter,genericscales,taskupdatetime,15
4.82087,0.082185,parameter,genericscales,taskfeedback-overdue-active,0
4.820919,0.082185,parameter,genericscales,taskfeedback-overdue-color,"(241, 100, 100, 255)"
4.820972,0.082185,parameter,genericscales,taskfeedback-overdue-delayms,2000
4.821003,0.082185,parameter,genericscales,taskfeedback-overdue-blinkdurationms,1000
4.821034,0.082185,parameter,genericscales,taskfeedback-overdue-_nexttoggletime,0
4.821064,0.082185,parameter,genericscales,taskfeedback-overdue-_is_visible,0
4.821095,0.082185,parameter,genericscales,boldtitle,0
4.821124,0.082185,parameter,genericscales,filename,en/vasf_4pp_part1.txt
4.821161,0.082185,parameter,genericscales,pointsize,0
4.821193,0.082185,parameter,genericscales,maxdurationsec,0
4.821228,0.082185,parameter,genericscales,response-text,Press SPACE to validate
4.821257,0.082185,parameter,genericscales,response-key,SPACE
4.821285,0.082185,parameter,genericscales,allowkeypress,1
4.821703,0.082185,state,genericscales,"background, visibility",1
4.821763,0.082185,event,genericscales,self,start
4.834481,0.098175,state,genericscales,"background, visibility",0
4.837379,0.098175,aoi,genericscales,press_space,"(0, 1080, 1920, 0)"
4.844709,0.098175,aoi,genericscales,label_1,"(0.0, 928.8000000000002, 1920.0, 885.6000000000001)"
4.850176,0.098175,aoi,genericscales,slider_1,"(0.0, 885.6000000000001, 1920.0, 820.8000000000001)"
4.852841,0.098175,aoi,genericscales,label_2,"(0.0, 761.4000000000001, 1920.0, 718.2)"
4.856743,0.098175,aoi,genericscales,slider_2,"(0.0, 718.2, 1920.0, 653.4000000000001)"
4.858301,0.098175,aoi,genericscales,label_3,"(0.0, 594.0, 1920.0, 550.8)"
4.861436,0.098175,aoi,genericscales,slider_3,"(0.0, 550.8, 1920.0, 486.0)"
4.862722,0.098175,aoi,genericscales,label_4,"(0.0, 426.6, 1920.0, 383.40000000000003)"
4.865645,0.098175,aoi,genericscales,slider_4,"(0.0, 383.40000000000003, 1920.0, 318.6)"
4.865731,0.098175,state,genericscales,"background, visibility",1
5.221424,0.098175,input,keyboard,SPACE,press
5.38471,0.098175,input,keyboard,SPACE,release
5.385345,0.098175,performance,genericscales,I feel tired,4
5.385385,0.098175,performance,genericscales,I feel sleepy,4
5.385403,0.098175,performance,genericscales,I feel drowsy,4
5.385419,0.098175,performance,genericscales,I feel fatigued,4
5.385468,0.098175,state,genericscales,"background, visibility",0
5.401973,0.115165,event,genericscales,filename,en/vasf_4pp_part2.txt
5.418474,0.131202,aoi,genericscales,background,"(0, 1080, 1920, 0)"
5.419503,0.131202,parameter,genericscales,title,
5.419573,0.131202,parameter,genericscales,taskplacement,fullscreen
5.419608,0.131202,parameter,genericscales,taskupdatetime,15
5.419658,0.131202,parameter,genericscales,taskfeedback-overdue-active,0
5.419697,0.131202,parameter,genericscales,taskfeedback-overdue-color,"(241, 100, 100, 255)"
5.419741,0.131202,parameter,genericscales,taskfeedback-overdue-delayms,2000
5.41978,0.131202,parameter,genericscales,taskfeedback-overdue-blinkdurationms,1000
5.419821,0.131202,parameter,genericscales,taskfeedback-overdue-_nexttoggletime,0
5.419858,0.131202,parameter,genericscales,taskfeedback-overdue-_is_visible,0
5.419898,0.131202,parameter,genericscales,boldtitle,0
5.419935,0.131202,parameter,genericscales,filename,en/vasf_4pp_part2.txt
5.419968,0.131202,parameter,genericscales,pointsize,0
5.419993,0.131202,parameter,genericscales,maxdurationsec,0
5.420019,0.131202,parameter,genericscales,response-text,Press SPACE to validate
5.420044,0.131202,parameter,genericscales,response-key,SPACE
5.420068,0.131202,parameter,genericscales,allowkeypress,1
5.420474,0.131202,state,genericscales,"background, visibility",1
5.426145,0.131202,event,genericscales,self,start
5.435546,0.147736,state,genericscales,"background, visibility",0
5.441984,0.147736,aoi,genericscales,press_space,"(0, 1080, 1920, 0)"
5.44298,0.147736,aoi,genericscales,label_1,"(0.0, 928.8000000000002, 1920.0, 885.6000000000001)"
5.445294,0.147736,aoi,genericscales,slider_1,"(0.0, 885.6000000000001, 1920.0, 820.8000000000001)"
5.447003,0.147736,aoi,genericscales,label_2,"(0.0, 761.4000000000001, 1920.0, 718.2)"
5.449678,0.147736,aoi,genericscales,slider_2,"(0.0, 718.2, 1920.0, 653.4000000000001)"
5.451884,0.147736,aoi,genericscales,label_3,"(0.0, 594.0, 1920.0, 550.8)"
5.455021,0.147736,aoi,genericscales,slider_3,"(0.0, 550.8, 1920.0, 486.0)"
5.456123,0.147736,aoi,genericscales,label_4,"(0.0, 426.6, 1920.0, 383.40000000000003)"
5.458768,0.147736,aoi,genericscales,slider_4,"(0.0, 383.40000000000003, 1920.0, 318.6)"
5.458862,0.147736,state,genericscales,"background, visibility",1
5.768976,0.147736,input,keyboard,SPACE,press
5.95178,0.147736,input,keyboard,SPACE,release
5.95301,0.147736,performance,genericscales,I feel worn out,4
5.953091,0.147736,performance,genericscales,I feel energetic,4
5.953134,0.147736,performance,genericscales,I feel active,4
5.95317,0.147736,performance,genericscales,I feel vigorous,4
5.95327,0.147736,state,genericscales,"background, visibility",0
5.967892,0.163508,event,genericscales,filename,en/vasf_4pp_part3.txt
5.984734,0.180055,aoi,genericscales,background,"(0, 1080, 1920, 0)"
5.985403,0.180055,parameter,genericscales,title,
5.985445,0.180055,parameter,genericscales,taskplacement,fullscreen
5.985463,0.180055,parameter,genericscales,taskupdatetime,15
5.985483,0.180055,parameter,genericscales,taskfeedback-overdue-active,0
5.985499,0.180055,parameter,genericscales,taskfeedback-overdue-color,"(241, 100, 100, 255)"
5.985517,0.180055,parameter,genericscales,taskfeedback-overdue-delayms,2000
5.985533,0.180055,parameter,genericscales,taskfeedback-overdue-blinkdurationms,1000
5.985548,0.180055,parameter,genericscales,taskfeedback-overdue-_nexttoggletime,0
5.985563,0.180055,parameter,genericscales,taskfeedback-overdue-_is_visible,0
5.985579,0.180055,parameter,genericscales,boldtitle,0
5.985593,0.180055,parameter,genericscales,filename,en/vasf_4pp_part3.txt
5.985606,0.180055,parameter,genericscales,pointsize,0
5.985619,0.180055,parameter,genericscales,maxdurationsec,0
5.985634,0.180055,parameter,genericscales,response-text,Press SPACE to validate
5.985648,0.180055,parameter,genericscales,response-key,SPACE
5.985662,0.180055,parameter,genericscales,allowkeypress,1
5.985861,0.180055,state,genericscales,"background, visibility",1
5.989597,0.180055,event,genericscales,self,start
6.001861,0.196961,state,genericscales,"background, visibility",0
6.007551,0.196961,aoi,genericscales,press_space,"(0, 1080, 1920, 0)"
6.008606,0.196961,aoi,genericscales,label_1,"(0.0, 928.8000000000002, 1920.0, 885.6000000000001)"
6.011058,0.196961,aoi,genericscales,slider_1,"(0.0, 885.6000000000001, 1920.0, 820.8000000000001)"
6.012111,0.196961,aoi,genericscales,label_2,"(0.0, 761.4000000000001, 1920.0, 718.2)"
6.014572,0.196961,aoi,genericscales,slider_2,"(0.0, 718.2, 1920.0, 653.4000000000001)"
6.016424,0.196961,aoi,genericscales,label_3,"(0.0, 594.0, 1920.0, 550.8)"
6.019982,0.196961,aoi,genericscales,slider_3,"(0.0, 550.8, 1920.0, 486.0)"
6.021154,0.196961,aoi,genericscales,label_4,"(0.0, 426.6, 1920.0, 383.40000000000003)"
6.024029,0.196961,aoi,genericscales,slider_4,"(0.0, 383.40000000000003, 1920.0, 318.6)"
6.024123,0.196961,state,genericscales,"background, visibility",1
6.285535,0.196961,input,keyboard,SPACE,press
6.451979,0.196961,input,keyboard,SPACE,release
6.453511,0.196961,performance,genericscales,I feel efficient,4
6.453595,0.196961,performance,genericscales,I feel lively,4
6.453631,0.196961,performance,genericscales,I feel bushed,4
6.453685,0.196961,performance,genericscales,I feel exhausted,4
6.45377,0.196961,state,genericscales,"background, visibility",0
6.46798,0.212162,event,genericscales,filename,en/vasf_4pp_part4.txt
6.485226,0.228945,aoi,genericscales,background,"(0, 1080, 1920, 0)"
6.485895,0.228945,parameter,genericscales,title,
6.485938,0.228945,parameter,genericscales,taskplacement,fullscreen
6.485958,0.228945,parameter,genericscales,taskupdatetime,15
6.485979,0.228945,parameter,genericscales,taskfeedback-overdue-active,0
6.485996,0.228945,parameter,genericscales,taskfeedback-overdue-color,"(241, 100, 100, 255)"
6.486014,0.228945,parameter,genericscales,taskfeedback-overdue-delayms,2000
6.486029,0.228945,parameter,genericscales,taskfeedback-overdue-blinkdurationms,1000
6.486045,0.228945,parameter,genericscales,taskfeedback-overdue-_nexttoggletime,0
6.48606,0.228945,parameter,genericscales,taskfeedback-overdue-_is_visible,0
6.486077,0.228945,parameter,genericscales,boldtitle,0
6.48609,0.228945,parameter,genericscales,filename,en/vasf_4pp_part4.txt
6.486104,0.228945,parameter,genericscales,pointsize,0
6.486119,0.228945,parameter,genericscales,maxdurationsec,0
6.486135,0.228945,parameter,genericscales,response-text,Press SPACE to validate
6.486151,0.228945,parameter,genericscales,response-key,SPACE
6.486165,0.228945,parameter,genericscales,allowkeypress,1
6.486373,0.228945,state,genericscales,"background, visibility",1
6.491915,0.228945,event,genericscales,self,start
6.502014,0.245513,state,genericscales,"background, visibility",0
6.508888,0.245513,aoi,genericscales,press_space,"(0, 1080, 1920, 0)"
6.510726,0.245513,aoi,genericscales,label_1,"(0.0, 928.8000000000002, 1920.0, 885.6000000000001)"
6.514509,0.245513,aoi,genericscales,slider_1,"(0.0, 885.6000000000001, 1920.0, 820.8000000000001)"
6.515502,0.245513,aoi,genericscales,label_2,"(0.0, 761.4000000000001, 1920.0, 718.2)"
6.517785,0.245513,aoi,genericscales,slider_2,"(0.0, 718.2, 1920.0, 653.4000000000001)"
6.519044,0.245513,aoi,genericscales,label_3,"(0.0, 594.0, 1920.0, 550.8)"
6.522142,0.245513,aoi,genericscales,slider_3,"(0.0, 550.8, 1920.0, 486.0)"
6.523357,0.245513,aoi,genericscales,label_4,"(0.0, 426.6, 1920.0, 383.40000000000003)"
6.525665,0.245513,aoi,genericscales,slider_4,"(0.0, 383.40000000000003, 1920.0, 318.6)"
6.525753,0.245513,state,genericscales,"background, visibility",1
6.851919,0.245513,input,keyboard,SPACE,press
7.001856,0.245513,input,keyboard,SPACE,release
7.002929,0.245513,performance,genericscales,Keeping my eyes open is...,4
7.003004,0.245513,performance,genericscales,Moving my body is...,4
7.003043,0.245513,performance,genericscales,Concentrating is...,4
7.003076,0.245513,performance,genericscales,Carrying on a conversation is...,4
7.003166,0.245513,state,genericscales,"background, visibility",0
7.018187,0.261391,event,genericscales,filename,en/vasf_4pp_part5.txt
7.034589,0.277788,aoi,genericscales,background,"(0, 1080, 1920, 0)"
7.03496,0.277788,parameter,genericscales,title,
7.034982,0.277788,parameter,genericscales,taskplacement,fullscreen
7.034992,0.277788,parameter,genericscales,taskupdatetime,15
7.035003,0.277788,parameter,genericscales,taskfeedback-overdue-active,0
