logtime,scenario_time,type,module,address,value
0.888643,0,version,,,1.4.1
0.889211,0,scenario_path,,,includes\scenarios\fatigue.txt
0.890464,0,seed_value,communications,,
0.890506,0,seed_output,communications,,RKE884
0.89064,0,seed_value,communications,,
0.890658,0,seed_output,communications,,CLN158
0.890777,0,seed_value,communications,,
0.890793,0,seed_output,communications,,HQR233
0.890906,0,seed_value,communications,,
0.890921,0,seed_output,communications,,IBX875
0.891036,0,seed_value,communications,,
0.891052,0,seed_output,communications,,EOR477
0.891155,0,seed_value,communications,,
0.89117,0,seed_output,communications,,CGE412
0.891284,0,seed_value,communications,,
0.891298,0,seed_output,communications,,BLS903
0.891425,0,seed_value,communications,,
0.891443,0,seed_output,communications,,HCU702
0.891559,0,seed_value,communications,,
0.891574,0,seed_output,communications,,PFR354
0.891618,0,seed_value,communications,,
0.891629,0,seed_output,communications,,133.759774
0.891659,0,seed_value,communications,,
0.891671,0,seed_output,communications,,118.203541
0.891701,0,seed_value,communications,,
0.891714,0,seed_output,communications,,123.896577
0.891745,0,seed_value,communications,,
0.891757,0,seed_output,communications,,109.939635
4.397616,0,dialog,,,OpenMATB end
4.398074,0.01764,input,joystick,x,-0.007828
4.398148,0.01764,input,joystick,y,0.154925
4.398334,0.01764,event,instructions,filename,en/welcome_screen.txt
4.415383,0.034192,aoi,instructions,background,"(0, 1080, 1920, 0)"
4.416793,0.034192,parameter,instructions,title,
4.416868,0.034192,parameter,instructions,taskplacement,fullscreen
4.416894,0.034192,parameter,instructions,taskupdatetime,15
4.41692,0.034192,parameter,instructions,taskfeedback-overdue-active,0
4.416944,0.034192,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
4.416968,0.034192,parameter,instructions,taskfeedback-overdue-delayms,2000
4.416987,0.034192,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
4.417007,0.034192,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
4.417026,0.034192,parameter,instructions,taskfeedback-overdue-_is_visible,0
4.417046,0.034192,parameter,instructions,boldtitle,0
4.417065,0.034192,parameter,instructions,filename,en/welcome_screen.txt
4.417084,0.034192,parameter,instructions,pointsize,0
4.417105,0.034192,parameter,instructions,maxdurationsec,0
4.417121,0.034192,parameter,instructions,response-text,Press SPACE to continue
4.417136,0.034192,parameter,instructions,response-key,SPACE
4.417152,0.034192,parameter,instructions,allowkeypress,1
4.421241,0.034192,state,instructions,"background, visibility",1
4.421283,0.034192,event,instructions,self,start
4.430365,0.049843,state,instructions,"background, visibility",0
4.439364,0.049843,aoi,instructions,title,"(0, 1080, 1920, 0)"
4.444592,0.049843,aoi,instructions,press_space,"(0, 1080, 1920, 0)"
4.455652,0.049843,aoi,instructions,instructions,"(0, 1080, 1920, 0)"
4.455767,0.049843,state,instructions,"background, visibility",1
4.881112,0.049843,input,keyboard,SPACE,press
5.01417,0.049843,input,keyboard,SPACE,release
5.01497,0.049843,state,instructions,"background, visibility",0
5.030462,0.065466,event,genericscales,filename,en/vasf_4pp_part1.txt
5.047766,0.082254,aoi,genericscales,background,"(0, 1080, 1920, 0)"
5.049172,0.082254,parameter,genericscales,title,
5.049259,0.082254,parameter,genericscales,taskplacement,fullscreen
5.049296,0.082254,parameter,genericscales,taskupdatetime,15
5.049339,0.082254,parameter,genericscales,taskfeedback-overdue-active,0
5.049372,0.082254,parameter,genericscales,taskfeedback-overdue-color,"(241, 100, 100, 255)"
5.049408,0.082254,parameter,genericscales,taskfeedback-overdue-delayms,2000
5.049441,0.082254,parameter,genericscales,taskfeedback-overdue-blinkdurationms,1000
5.049472,0.082254,parameter,genericscales,taskfeedback-overdue-_nexttoggletime,0
5.049501,0.082254,parameter,genericscales,taskfeedback-overdue-_is_visible,0
5.049531,0.082254,parameter,genericscales,boldtitle,0
5.049559,0.082254,parameter,genericscales,filename,en/vasf_4pp_part1.txt
5.049586,0.082254,parameter,genericscales,pointsize,0
5.049611,0.082254,parameter,genericscales,maxdurationsec,0
5.04964,0.082254,parameter,genericscales,response-text,Press SPACE to validate
5.049671,0.082254,parameter,genericscales,response-key,SPACE
5.049701,0.082254,parameter,genericscales,allowkeypress,1
5.050155,0.082254,state,genericscales,"background, visibility",1
5.050222,0.082254,event,genericscales,self,start
5.06462,0.099495,state,genericscales,"background, visibility",0
5.069356,0.099495,aoi,genericscales,press_space,"(0, 1080, 1920, 0)"
5.083172,0.099495,aoi,genericscales,label_1,"(0.0, 928.8000000000002, 1920.0, 885.6000000000001)"
5.091093,0.099495,aoi,genericscales,slider_1,"(0.0, 885.6000000000001, 1920.0, 820.8000000000001)"
5.093801,0.099495,aoi,genericscales,label_2,"(0.0, 761.4000000000001, 1920.0, 718.2)"
5.097164,0.099495,aoi,genericscales,slider_2,"(0.0, 718.2, 1920.0, 653.4000000000001)"
5.098559,0.099495,aoi,genericscales,label_3,"(0.0, 594.0, 1920.0, 550.8)"
5.102084,0.099495,aoi,genericscales,slider_3,"(0.0, 550.8, 1920.0, 486.0)"
5.103412,0.099495,aoi,genericscales,label_4,"(0.0, 426.6, 1920.0, 383.40000000000003)"
5.108039,0.099495,aoi,genericscales,slider_4,"(0.0, 383.40000000000003, 1920.0, 318.6)"
5.108142,0.099495,state,genericscales,"background, visibility",1
5.480663,0.099495,input,keyboard,SPACE,press
5.61447,0.099495,input,keyboard,SPACE,release
5.615134,0.099495,performance,genericscales,I feel tired,4
5.615188,0.099495,performance,genericscales,I feel sleepy,4
5.615206,0.099495,performance,genericscales,I feel drowsy,4
5.61522,0.099495,performance,genericscales,I feel fatigued,4
5.61527,0.099495,state,genericscales,"background, visibility",0
5.631081,0.115806,event,genericscales,filename,en/vasf_4pp_part2.txt
5.64719,0.131779,aoi,genericscales,background,"(0, 1080, 1920, 0)"
5.647748,0.131779,parameter,genericscales,title,
5.647786,0.131779,parameter,genericscales,taskplacement,fullscreen
5.647797,0.131779,parameter,genericscales,taskupdatetime,15
5.647825,0.131779,parameter,genericscales,taskfeedback-overdue-active,0
5.647853,0.131779,parameter,genericscales,taskfeedback-overdue-color,"(241, 100, 100, 255)"
5.647867,0.131779,parameter,genericscales,taskfeedback-overdue-delayms,2000
5.647877,0.131779,parameter,genericscales,taskfeedback-overdue-blinkdurationms,1000
5.647887,0.131779,parameter,genericscales,taskfeedback-overdue-_nexttoggletime,0
5.647896,0.131779,parameter,genericscales,taskfeedback-overdue-_is_visible,0
5.647907,0.131779,parameter,genericscales,boldtitle,0
5.647917,0.131779,parameter,genericscales,filename,en/vasf_4pp_part2.txt
5.647926,0.131779,parameter,genericscales,pointsize,0
5.647936,0.131779,parameter,genericscales,maxdurationsec,0
5.647945,0.131779,parameter,genericscales,response-text,Press SPACE to validate
5.647954,0.131779,parameter,genericscales,response-key,SPACE
5.647962,0.131779,parameter,genericscales,allowkeypress,1
5.648133,0.131779,state,genericscales,"background, visibility",1
5.651383,0.131779,event,genericscales,self,start
5.66364,0.14814,state,genericscales,"background, visibility",0
5.670046,0.14814,aoi,genericscales,press_space,"(0, 1080, 1920, 0)"
5.671218,0.14814,aoi,genericscales,label_1,"(0.0, 928.8000000000002, 1920.0, 885.6000000000001)"
5.673902,0.14814,aoi,genericscales,slider_1,"(0.0, 885.6000000000001, 1920.0, 820.8000000000001)"
5.675918,0.14814,aoi,genericscales,label_2,"(0.0, 761.4000000000001, 1920.0, 718.2)"
5.67937,0.14814,aoi,genericscales,slider_2,"(0.0, 718.2, 1920.0, 653.4000000000001)"
5.682179,0.14814,aoi,genericscales,label_3,"(0.0, 594.0, 1920.0, 550.8)"
5.685935,0.14814,aoi,genericscales,slider_3,"(0.0, 550.8, 1920.0, 486.0)"
5.687353,0.14814,aoi,genericscales,label_4,"(0.0, 426.6, 1920.0, 383.40000000000003)"
5.690895,0.14814,aoi,genericscales,slider_4,"(0.0, 383.40000000000003, 1920.0, 318.6)"
5.691022,0.14814,state,genericscales,"background, visibility",1
6.08122,0.14814,input,keyboard,SPACE,press
6.196975,0.14814,input,keyboard,SPACE,release
6.197362,0.14814,performance,genericscales,I feel worn out,4
6.197395,0.14814,performance,genericscales,I feel energetic,4
6.197406,0.14814,performance,genericscales,I feel active,4
6.197415,0.14814,performance,genericscales,I feel vigorous,4
6.197444,0.14814,state,genericscales,"background, visibility",0
6.213762,0.164751,event,genericscales,filename,en/vasf_4pp_part3.txt
6.230148,0.180999,aoi,genericscales,background,"(0, 1080, 1920, 0)"
6.230506,0.180999,parameter,genericscales,title,
6.230531,0.180999,parameter,genericscales,taskplacement,fullscreen
6.230542,0.180999,parameter,genericscales,taskupdatetime,15
6.230553,0.180999,parameter,genericscales,taskfeedback-overdue-active,0
6.230562,0.180999,parameter,genericscales,taskfeedback-overdue-color,"(241, 100, 100, 255)"
6.230571,0.180999,parameter,genericscales,taskfeedback-overdue-delayms,2000
6.230579,0.180999,parameter,genericscales,taskfeedback-overdue-blinkdurationms,1000
6.230587,0.180999,parameter,genericscales,taskfeedback-overdue-_nexttoggletime,0
6.230595,0.180999,parameter,genericscales,taskfeedback-overdue-_is_visible,0
6.230604,0.180999,parameter,genericscales,boldtitle,0
6.230612,0.180999,parameter,genericscales,filename,en/vasf_4pp_part3.txt
6.230619,0.180999,parameter,genericscales,pointsize,0
6.230627,0.180999,parameter,genericscales,maxdurationsec,0
6.230637,0.180999,parameter,genericscales,response-text,Press SPACE to validate
6.230646,0.180999,parameter,genericscales,response-key,SPACE
6.230654,0.180999,parameter,genericscales,allowkeypress,1
6.230785,0.180999,state,genericscales,"background, visibility",1
6.234128,0.180999,event,genericscales,self,start
6.247483,0.197891,state,genericscales,"background, visibility",0
