logtime,scenario_time,type,module,address,value
0.752536,0,version,,,1.4.1
0.75296,0,scenario_path,,,includes\scenarios\fatigue.txt
0.753737,0,seed_value,communications,,
0.753758,0,seed_output,communications,,OTL422
0.753833,0,seed_value,communications,,
0.753845,0,seed_output,communications,,SBN790
0.753924,0,seed_value,communications,,
0.753933,0,seed_output,communications,,PIV852
0.754003,0,seed_value,communications,,
0.754012,0,seed_output,communications,,DTW834
0.75408,0,seed_value,communications,,
0.754089,0,seed_output,communications,,LPP463
0.754151,0,seed_value,communications,,
0.754163,0,seed_output,communications,,QNZ454
0.754229,0,seed_value,communications,,
0.754238,0,seed_output,communications,,FDV753
0.754307,0,seed_value,communications,,
0.754316,0,seed_output,communications,,XVZ241
0.754378,0,seed_value,communications,,
0.754386,0,seed_output,communications,,EHA972
0.754416,0,seed_value,communications,,
0.754423,0,seed_output,communications,,117.39115
0.754443,0,seed_value,communications,,
0.75445,0,seed_output,communications,,114.57447
0.754468,0,seed_value,communications,,
0.754478,0,seed_output,communications,,121.427213
0.754497,0,seed_value,communications,,
0.754504,0,seed_output,communications,,124.570675
4.32447,0,dialog,,,OpenMATB end
4.324685,0.0173,input,joystick,x,-0.007828
4.324762,0.0173,event,instructions,filename,en/welcome_screen.txt
4.34145,0.033432,aoi,instructions,background,"(0, 1080, 1920, 0)"
4.342407,0.033432,parameter,instructions,title,
4.342463,0.033432,parameter,instructions,taskplacement,fullscreen
4.342588,0.033432,parameter,instructions,taskupdatetime,15
4.342623,0.033432,parameter,instructions,taskfeedback-overdue-active,0
4.342648,0.033432,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
4.342672,0.033432,parameter,instructions,taskfeedback-overdue-delayms,2000
4.342692,0.033432,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
4.34271,0.033432,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
4.34273,0.033432,parameter,instructions,taskfeedback-overdue-_is_visible,0
4.34275,0.033432,parameter,instructions,boldtitle,0
4.342767,0.033432,parameter,instructions,filename,en/welcome_screen.txt
4.342786,0.033432,parameter,instructions,pointsize,0
4.342804,0.033432,parameter,instructions,maxdurationsec,0
4.342823,0.033432,parameter,instructions,response-text,Press SPACE to continue
4.342841,0.033432,parameter,instructions,response-key,SPACE
4.342858,0.033432,parameter,instructions,allowkeypress,1
4.346865,0.033432,state,instructions,"background, visibility",1
4.346894,0.033432,event,instructions,self,start
4.357174,0.049667,state,instructions,"background, visibility",0
4.365149,0.049667,aoi,instructions,title,"(0, 1080, 1920, 0)"
4.369543,0.049667,aoi,instructions,press_space,"(0, 1080, 1920, 0)"
4.380218,0.049667,aoi,instructions,instructions,"(0, 1080, 1920, 0)"
4.380396,0.049667,state,instructions,"background, visibility",1
4.657259,0.049667,input,joystick,x,-0.019547
4.674179,0.049667,input,joystick,x,-0.007828
4.690999,0.049667,input,keyboard,SPACE,press
4.790997,0.049667,input,keyboard,SPACE,release
4.791408,0.049667,state,instructions,"background, visibility",0
4.807719,0.065571,aoi,sysmon,foreground,"(0, 1026.0, 672, 540.0)"
4.807777,0.065571,aoi,sysmon,overdue,"(0, 1026.0, 672, 540.0)"
4.815034,0.065571,aoi,sysmon,task_title,"(0, 1080.0, 672, 1026.0)"
4.815184,0.065571,aoi,sysmon,automode,"(285.6, 592.65, 386.40000000000003, 565.65)"
4.816572,0.065571,aoi,sysmon,scale1,"(50.4, 855.9, 117.6, 612.9)"
4.817715,0.065571,aoi,sysmon,scale2,"(218.4, 855.9, 285.6, 612.9)"
4.818832,0.065571,aoi,sysmon,scale3,"(386.4, 855.9, 453.59999999999997, 612.9)"
4.820039,0.065571,aoi,sysmon,scale4,"(554.4, 855.9, 621.6, 612.9)"
4.821167,0.065571,aoi,sysmon,light1,"(33.599999999999994, 977.4, 302.4, 904.5)"
4.822318,0.065571,aoi,sysmon,light2,"(369.6, 977.4, 638.4000000000001, 904.5)"
4.822344,0.065571,parameter,sysmon,title,System monitoring
4.822353,0.065571,parameter,sysmon,taskplacement,topleft
4.822359,0.065571,parameter,sysmon,taskupdatetime,200
4.822368,0.065571,parameter,sysmon,taskfeedback-overdue-active,0
4.822375,0.065571,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
4.822383,0.065571,parameter,sysmon,taskfeedback-overdue-delayms,2000
4.822389,0.065571,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
4.822396,0.065571,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
4.822402,0.065571,parameter,sysmon,taskfeedback-overdue-_is_visible,0
4.822409,0.065571,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x00000208D665B430>
4.822417,0.065571,parameter,sysmon,alerttimeout,10000
4.822424,0.065571,parameter,sysmon,automaticsolver,0
4.82243,0.065571,parameter,sysmon,automaticsolverdelay,1000
4.822436,0.065571,parameter,sysmon,displayautomationstate,1
4.822441,0.065571,parameter,sysmon,allowanykey,0
4.822447,0.065571,parameter,sysmon,feedbackduration,1500
4.822454,0.065571,parameter,sysmon,feedbacks-positive-active,1
4.82246,0.065571,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
4.82249,0.065571,parameter,sysmon,feedbacks-negative-active,1
4.822496,0.065571,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
4.822503,0.065571,parameter,sysmon,lights-1-name,F5
4.82251,0.065571,parameter,sysmon,lights-1-failure,0
4.822516,0.065571,parameter,sysmon,lights-1-default,on
4.822522,0.065571,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
4.822529,0.065571,parameter,sysmon,lights-1-key,F5
4.822534,0.065571,parameter,sysmon,lights-1-on,1
4.82254,0.065571,parameter,sysmon,lights-1-_failuretimer,
