logtime,scenario_time,type,module,address,value
0.863594,0,version,,,1.4.1
0.864128,0,scenario_path,,,includes\scenarios\fatigue.txt
0.865008,0,seed_value,communications,,
0.865042,0,seed_output,communications,,JJS243
0.865161,0,seed_value,communications,,
0.865176,0,seed_output,communications,,PFR354
0.865281,0,seed_value,communications,,
0.865294,0,seed_output,communications,,OOJ471
0.865383,0,seed_value,communications,,
0.865395,0,seed_output,communications,,PDU968
0.865489,0,seed_value,communications,,
0.8655,0,seed_output,communications,,CJN374
0.865586,0,seed_value,communications,,
0.865597,0,seed_output,communications,,XOW819
0.865679,0,seed_value,communications,,
0.86569,0,seed_output,communications,,DJW772
0.86577,0,seed_value,communications,,
0.86578,0,seed_output,communications,,KQT042
0.865851,0,seed_value,communications,,
0.865861,0,seed_output,communications,,IDQ792
0.865894,0,seed_value,communications,,
0.865903,0,seed_output,communications,,124.841958
0.86593,0,seed_value,communications,,
0.865939,0,seed_output,communications,,114.501379
0.865963,0,seed_value,communications,,
0.865973,0,seed_output,communications,,116.926396
0.866004,0,seed_value,communications,,
0.866014,0,seed_output,communications,,122.340136
