logtime,scenario_time,type,module,address,value
0.921666,0,version,,,1.4.1
0.922108,0,scenario_path,,,includes\scenarios\fatigue.txt
0.922884,0,seed_value,communications,,
0.92291,0,seed_output,communications,,VBD219
0.923006,0,seed_value,communications,,
0.92302,0,seed_output,communications,,KQT042
0.923129,0,seed_value,communications,,
0.923151,0,seed_output,communications,,IDQ792
0.923246,0,seed_value,communications,,
0.923257,0,seed_output,communications,,OSN708
0.923351,0,seed_value,communications,,
0.923364,0,seed_output,communications,,ZIK333
0.923448,0,seed_value,communications,,
0.92346,0,seed_output,communications,,GDJ460
0.923551,0,seed_value,communications,,
0.923561,0,seed_output,communications,,IMR655
0.92363,0,seed_value,communications,,
0.923639,0,seed_output,communications,,QOK886
0.923708,0,seed_value,communications,,
0.923717,0,seed_output,communications,,EYP842
0.923748,0,seed_value,communications,,
0.923756,0,seed_output,communications,,110.169019
0.923779,0,seed_value,communications,,
0.923787,0,seed_output,communications,,129.508399
0.923808,0,seed_value,communications,,
0.923816,0,seed_output,communications,,127.842988
0.923836,0,seed_value,communications,,
0.923843,0,seed_output,communications,,134.383308
4.362674,0,dialog,,,OpenMATB end
4.37709,0.020497,input,joystick,x,-0.007828
4.377121,0.020497,input,joystick,y,0.076493
4.377172,0.020497,event,pvt,duration_s,180
5.361609,0.020497,dialog,,,Error(s) end
5.362324,0.038079,event,pvt,iti_min_ms,2000
5.362394,0.038079,manual,,,end
