logtime,scenario_time,type,module,address,value
0.875559,0,version,,,1.4.1
0.876394,0,scenario_path,,,includes\scenarios\fatigue.txt
0.877574,0,seed_value,communications,,
0.877606,0,seed_output,communications,,UNN115
0.87771,0,seed_value,communications,,
0.877724,0,seed_output,communications,,GIM033
0.87781,0,seed_value,communications,,
0.877822,0,seed_output,communications,,OSQ034
0.877915,0,seed_value,communications,,
0.87793,0,seed_output,communications,,UDA433
0.878014,0,seed_value,communications,,
0.878027,0,seed_output,communications,,BJW275
0.878116,0,seed_value,communications,,
0.878128,0,seed_output,communications,,INP414
0.878209,0,seed_value,communications,,
0.87822,0,seed_output,communications,,CMB993
0.878306,0,seed_value,communications,,
0.878327,0,seed_output,communications,,LCN879
0.87844,0,seed_value,communications,,
0.878455,0,seed_output,communications,,CLN158
0.878561,0,seed_value,communications,,
0.878575,0,seed_output,communications,,HQR233
0.878687,0,seed_value,communications,,
0.878702,0,seed_output,communications,,IBX875
0.878805,0,seed_value,communications,,
0.878819,0,seed_output,communications,,EOR477
0.878911,0,seed_value,communications,,
0.878924,0,seed_output,communications,,CGE412
0.878966,0,seed_value,communications,,
0.878975,0,seed_output,communications,,117.532315
0.879001,0,seed_value,communications,,
0.87901,0,seed_output,communications,,127.778132
0.879033,0,seed_value,communications,,
0.879043,0,seed_output,communications,,126.544737
0.879068,0,seed_value,communications,,
0.87908,0,seed_output,communications,,114.085686
4.751036,0,dialog,,,OpenMATB end
4.751905,0.017619,event,instructions,filename,en/welcome_screen.txt
4.768062,0.03327,aoi,instructions,background,"(0, 1080, 1920, 0)"
4.769535,0.03327,parameter,instructions,title,
4.769626,0.03327,parameter,instructions,taskplacement,fullscreen
4.769667,0.03327,parameter,instructions,taskupdatetime,15
4.76972,0.03327,parameter,instructions,taskfeedback-overdue-active,0
4.769758,0.03327,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
4.769796,0.03327,parameter,instructions,taskfeedback-overdue-delayms,2000
4.769829,0.03327,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
4.769862,0.03327,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
4.769895,0.03327,parameter,instructions,taskfeedback-overdue-_is_visible,0
4.76993,0.03327,parameter,instructions,boldtitle,0
4.76996,0.03327,parameter,instructions,filename,en/welcome_screen.txt
4.770025,0.03327,parameter,instructions,pointsize,0
4.770058,0.03327,parameter,instructions,maxdurationsec,0
4.770093,0.03327,parameter,instructions,response-text,Press SPACE to continue
4.770127,0.03327,parameter,instructions,response-key,SPACE
4.77016,0.03327,parameter,instructions,allowkeypress,1
4.774476,0.03327,state,instructions,"background, visibility",1
4.774506,0.03327,event,instructions,self,start
4.783788,0.049746,state,instructions,"background, visibility",0
4.791618,0.049746,aoi,instructions,title,"(0, 1080, 1920, 0)"
4.79639,0.049746,aoi,instructions,press_space,"(0, 1080, 1920, 0)"
4.805598,0.049746,aoi,instructions,instructions,"(0, 1080, 1920, 0)"
4.80572,0.049746,state,instructions,"background, visibility",1
5.334444,0.049746,input,keyboard,SPACE,press
5.467165,0.049746,input,keyboard,SPACE,release
5.467636,0.049746,state,instructions,"background, visibility",0
5.483689,0.06586,event,genericscales,filename,en/vasf_4pp_part1.txt
5.50074,0.082392,aoi,genericscales,background,"(0, 1080, 1920, 0)"
5.501922,0.082392,parameter,genericscales,title,
5.502005,0.082392,parameter,genericscales,taskplacement,fullscreen
5.502041,0.082392,parameter,genericscales,taskupdatetime,15
5.502082,0.082392,parameter,genericscales,taskfeedback-overdue-active,0
